full_name,a,e,i,om,w,q,ad,per_y,data_arc,H
     1 Ceres (A801 AA),2.767,0.079,10.59,80.25,73.36,2.548,2.99,4.6,9520,3.34
     2 Pallas (A802 FA),2.77,0.2303,34.92,172.91,310.89,2.132,3.41,4.61,80236,4.12
     3 Juno (A804 RA),2.67,0.2562,12.99,169.84,247.78,1.986,3.35,4.36,80197,5.18
     4 Vesta (A807 FA),2.361,0.0899,7.14,103.7,151.69,2.149,2.57,3.63,25743,3.25
     5 Astraea (A845 XA),2.576,0.1873,5.36,141.46,359.24,2.094,3.06,4.13,65160,6.99
     6 Hebe (A847 NA),2.426,0.2025,14.73,138.63,239.62,1.935,2.92,3.78,64160,5.61
     7 Iris (A847 PA),2.386,0.2298,5.52,259.5,145.48,1.838,2.93,3.69,64173,5.64
     8 Flora (A847 UA),2.202,0.1567,5.89,110.85,285.54,1.857,2.55,3.27,64407,6.61
     9 Metis (A848 HA),2.386,0.1228,5.58,68.87,5.73,2.093,2.68,3.69,63860,6.34
    10 Hygiea (A849 GA),3.14,0.1109,3.83,283.17,312.52,2.792,3.49,5.56,63758,5.64
    11 Parthenope (A850 JA),2.452,0.0993,4.63,125.52,195.87,2.209,2.7,3.84,63206,6.73
    12 Victoria (A850 RA),2.334,0.2202,8.37,235.36,69.57,1.82,2.85,3.57,63445,7.3
    13 Egeria (A850 VA),2.576,0.0855,16.54,43.21,79.64,2.356,2.8,4.14,63228,6.92
    14 Irene (A851 KA),2.59,0.1637,9.12,86.03,97.91,2.166,3.01,4.17,63085,6.55
    15 Eunomia (A851 OA),2.643,0.1872,11.75,292.91,98.78,2.148,3.14,4.3,62922,5.41
    16 Psyche (A852 FA),2.923,0.1342,3.1,150.02,229.51,2.531,3.32,5,13684,6.21
    17 Thetis (A852 HA),2.471,0.1323,5.59,125.53,135.69,2.144,2.8,3.88,62844,7.94
    18 Melpomene (A852 MA),2.295,0.2183,10.13,150.34,228.09,1.794,2.8,3.48,62736,6.35
    19 Fortuna (A852 QA),2.442,0.1574,1.57,211.04,182.65,2.058,2.83,3.82,62694,7.5
    20 Massalia (A852 SA),2.408,0.1436,0.71,205.98,257.48,2.062,2.75,3.74,61184,6.54
    21 Lutetia (A852 VA),2.435,0.1644,3.06,80.84,250.18,2.035,2.84,3.8,57719,7.51
    22 Kalliope (A852 WA),2.911,0.0988,13.7,65.97,357.91,2.623,3.2,4.97,62125,6.81
    23 Thalia (A852 XA),2.628,0.231,10.11,66.49,61.56,2.021,3.24,4.26,61208,7.17
    24 Themis (A853 GA),3.145,0.1157,0.74,36.42,108.72,2.781,3.51,5.58,62438,7.25
    25 Phocaea (A853 GB),2.401,0.2543,21.61,214.09,90.21,1.79,3.01,3.72,59963,7.88
    26 Proserpina (A853 JA),2.658,0.0884,3.56,45.77,194.49,2.423,2.89,4.33,59536,7.56
    27 Euterpe (A853 VA),2.348,0.1714,1.58,94.77,356.45,1.945,2.75,3.6,62251,7.08
    28 Bellona (A854 EA),2.78,0.15,9.42,144.21,343.33,2.363,3.2,4.63,61129,7.26
    29 Amphitrite (A854 EB),2.556,0.074,6.08,356.3,62.31,2.367,2.74,4.09,61591,5.99
    30 Urania (A854 OA),2.366,0.127,2.09,307.42,87.05,2.065,2.67,3.64,60001,7.59
    31 Euphrosyne (A854 RA),3.16,0.216,26.32,30.8,61.81,2.477,3.84,5.62,59756,6.88
    32 Pomona (A854 UA),2.587,0.0816,5.52,220.36,338.25,2.376,2.8,4.16,58562,7.79
    33 Polyhymnia (A854 UB),2.873,0.3316,1.85,8.43,338.62,1.92,3.83,4.87,61466,8.52
    34 Circe (A855 GA),2.686,0.1068,5.5,184.33,329.88,2.399,2.97,4.4,58450,8.79
    35 Leukothea (A855 HA),3.006,0.2209,7.89,353.57,214.32,2.342,3.67,5.21,59867,8.71
    36 Atalante (A855 TA),2.745,0.3063,18.37,358.19,47.85,1.904,3.59,4.55,57637,8.59
    37 Fides (A855 TB),2.642,0.175,3.07,7.24,62.17,2.18,3.1,4.29,61595,7.39
    38 Leda (A856 AA),2.741,0.1509,6.95,295.51,169.58,2.328,3.15,4.54,61485,8.49
    39 Laetitia (A856 CA),2.768,0.1119,10.37,156.93,209.9,2.458,3.08,4.61,61428,5.97
    40 Harmonia (A856 FA),2.267,0.0462,4.26,94.16,269.19,2.163,2.37,3.41,59861,6.55
    41 Daphne (A856 KA),2.766,0.273,15.77,178.03,46.29,2.011,3.52,4.6,57552,7.64
    42 Isis (A856 KB),2.443,0.2221,8.51,84.17,237.24,1.9,2.99,3.82,61268,7.71
    43 Ariadne (A857 GA),2.203,0.1686,3.47,264.75,16.14,1.832,2.57,3.27,58276,7.97
    44 Nysa (A857 KA),2.422,0.1494,3.71,131.49,344.13,2.06,2.78,3.77,58526,6.75
    45 Eugenia (A857 MA),2.72,0.0831,6.61,147.58,87.39,2.494,2.95,4.49,57699,7.79
    46 Hestia (A857 QA),2.525,0.1724,2.35,181.07,177.08,2.09,2.96,4.01,58498,8.55
    47 Aglaja (A857 RA),2.882,0.1304,4.97,3.05,315.48,2.506,3.26,4.89,59866,8.2
    48 Doris (A857 SA),3.112,0.0666,6.56,183.43,251.02,2.904,3.32,5.49,59979,7.14
    49 Pales (A857 SB),3.099,0.2217,3.2,285,113.33,2.412,3.79,5.46,58633,8.04
    50 Virginia (A857 TA),2.652,0.2849,2.84,173.47,200.03,1.896,3.41,4.32,60857,9.47
    51 Nemausa (A858 BA),2.367,0.0666,9.98,175.95,1.67,2.209,2.52,3.64,58582,7.75
